,precision,recall,f1-score,support
Normal,0.9962,0.8576,0.9217,321018.0
probe,0.9984,0.9923,0.9954,1281513.0
DOS,0.2701,0.9545,0.421,13564.0
R2L,0.0094,0.4717,0.0185,371.0
U2R,0.0,0.0,0.0,17.0
accuracy,0.9651,0.9651,0.9651,0.9651
macro avg,0.4548,0.6552,0.4713,1616483.0
weighted avg,0.9916,0.9651,0.9757,1616483.0
