,precision,recall,f1-score,support
Normal,0.9891,0.9975,0.9933,321018.0
probe,0.9989,0.9985,0.9987,1281513.0
DOS,0.9217,0.7302,0.8149,13564.0
R2L,0.0,0.0,0.0,371.0
U2R,1.0,0.0,0.0,17.0
accuracy,0.9958,0.9958,0.9958,0.9958
macro avg,0.7819,0.5452,0.5614,1616483.0
weighted avg,0.9961,0.9958,0.9958,1616483.0
