Class,precision,recall,f1-score,support
Normal,0.9908,0.996,0.9934,321018
probe,0.9986,0.9989,0.9987,1281513
DOS,0.8842,0.7773,0.8273,13563
Unauthorized Access,1,0,0,389
accuracy,0.9962,0.9962,0.9962,0.9962
macro avg,0.9684,0.693,0.7048,1616483
weighted avg,0.9961,0.9962,0.996,1616483
