,precision,recall,f1-score,support
Normal,0.9958,0.9023,0.9468,321018.0
probe,0.9983,0.9907,0.9945,1281513.0
DOS,0.3507,0.9482,0.512,13563.0
Unauthorized Access,0.0076,0.3368,0.0149,389.0
accuracy,0.9726,0.9726,0.9726,0.9726
macro avg,0.5881,0.7945,0.617,1616483.0
weighted avg,0.9921,0.9726,0.9807,1616483.0
